   2   27  0.0000000000000000E+00 6.1468383915911654E-15 7.6604106933708091E-17 3.5784770942423543E-16
   2   28  0.0000000000000000E+00 4.6001894222635996E-07 2.8698319181065799E-09 2.7025031899038919E-08
   2   29  0.0000000000000000E+00 6.7791586345673814E-09 7.5169669397414615E-11 4.5893133137646480E-10
   2   30  0.0000000000000000E+00 1.6567630857506669E-14 2.2884222932377569E-16 1.0569732614545561E-15
   2   31  0.0000000000000000E+00 2.1912520873410981E-09 3.4544698214136719E-11 9.7574718293400177E-11
   2   32  0.0000000000000000E+00 7.3246656460560227E-12 4.4821849702241580E-14 3.6677890842786932E-13
   2   33  0.0000000000000000E+00 1.5350807337847228E-16 1.3756566171880901E-18 6.8302544501128851E-18
   2   34  0.0000000000000000E+00 2.4848898098621362E-07 1.4979408212762208E-09 1.4462627307730002E-08
   2   35  0.0000000000000000E+00 5.8128131620597487E-09 4.8054629440792976E-11 2.9376500202731651E-10
   2   36  0.0000000000000000E+00 8.0973657723058018E-15 9.7519009381984708E-17 4.5107964974905308E-16
   2   37  0.0000000000000000E+00 2.2221605151436846E-26 4.0736747260439424E-29 7.4380671444905358E-28
   2   38  0.0000000000000000E+00 1.4307704193438650E-34 2.5805090782485795E-37 4.8301410365113680E-36
   2   39  0.0000000000000000E+00 6.9625684528953573E-55 1.3383675843979415E-57 2.5012647597387706E-56
   2   40  0.0000000000000000E+00 8.0064789968236059E-26 1.6109680556884899E-28 2.7559410109853414E-27
   2   41  0.0000000000000000E+00 6.5431187712907299E-34 1.5297851709528627E-36 2.6673656578749028E-35
   2   42  0.0000000000000000E+00 1.8776131218579636E-54 4.0032583457437652E-57 7.4261437041419873E-56
   2   43  0.0000000000000000E+00 3.4273617797334506E-28 3.9071285080513295E-31 9.0217337820019273E-30
   2   44  0.0000000000000000E+00 8.2703050433927203E-37 1.1977895995573648E-39 2.7109201467096470E-38
   2   45  0.0000000000000000E+00 1.7351732048941164E-56 2.2784364969148680E-59 4.7621890881992039E-58
   2   46  0.0000000000000000E+00 4.3216044608566480E-26 8.2746533491487869E-29 1.3844031580122529E-27
   2   47  0.0000000000000000E+00 5.6102204832516588E-34 9.7850384465696815E-37 1.7793990466788963E-35
   2   48  0.0000000000000000E+00 9.1767598657112552E-55 1.7001997383441871E-57 3.1974338520825218E-56
